Unnamed: 0,title,date,stock,sentiment_label,sentiment_score,sentiment_scalar,event_type,entity_a,entity_b,event_confidence
7120.0,Tech Stocks And FAANGS Strong Again To Start Day As Market Awaits Fed,2020-06-10 11:33:00-04:00,AAPL,Positive,0.9999986886978149,0.9999986886978149,Stock Movement,AAPL,,0.5
7121.0,10 Biggest Price Target Changes For Wednesday,2020-06-10 08:14:00-04:00,AAPL,Neutral,0.9999747276306152,0.0,Stock Movement,AAPL,,0.5
7122.0,"Benzinga Pro's Top 5 Stocks To Watch For Wed., Jun. 10, 2020: AAPL, BAC, NIO, SONO, GLW",2020-06-10 07:53:00-04:00,AAPL,Neutral,0.9999940395355225,0.0,Stock Movement,AAPL,,0.5
7123.0,"Deutsche Bank Maintains Buy on Apple, Raises Price Target to $350",2020-06-10 07:19:00-04:00,AAPL,Positive,0.9999998807907104,0.9999998807907104,Analyst Rating,AAPL,,0.5
7124.0,"Apple To Let Users Trade In Their Mac Computers For Credit At US, Canada Stores: Report",2020-06-10 06:27:00-04:00,AAPL,Neutral,0.9999630451202393,0.0,Legal and Regulation,AAPL,,0.14009936153888702
7125.0,Big Tech Reaches New Record Heights At The Stock Market,2020-06-10 00:52:00-04:00,AAPL,Positive,0.999829888343811,0.999829888343811,Stock Movement,AAPL,,0.5
7126.0,Why Apple's Stock Is Trading Higher Today,2020-06-09 15:14:00-04:00,AAPL,Positive,0.9999934434890747,0.9999934434890747,Stock Movement,AAPL,,0.1433624103665352
7127.0,Apple Could Announce In-House Chips For Macs At WWDC: Report,2020-06-09 13:58:00-04:00,AAPL,Neutral,0.9999192953109741,0.0,Product Launch,AAPL,,0.1271076798439026
7128.0,"Apple shares are trading higher despite market weakness, not currently seeing company-specific news. It was reported the company is expected to begin iPhone 12 production in July.",2020-06-09 12:41:00-04:00,AAPL,Positive,0.9999986886978149,0.9999986886978149,Stock Movement,AAPL,,0.5
7129.0,"Sonos Shares Spike To Session High, Now Up 9.5%, As Citron's Andrew Left, Currently Interviewing On FOX Business, Said Co. Could Be Acquired By Apple Or Amazon",2020-06-09 11:11:00-04:00,AAPL,Positive,0.9115720987319946,0.9115720987319946,Stock Movement,AMZN,,0.277918953448534
7130.0,'iPhone 12 Production Expected to Begin in July' -MacRumors,2020-06-09 10:59:00-04:00,AAPL,Neutral,0.9996693134307861,0.0,Product Launch,AAPL,,0.5
7131.0,Cramer: NASDAQ Rebound Makes Sense As It Better Represents Economy,2020-06-09 10:31:00-04:00,AAPL,Positive,0.9999997615814209,0.9999997615814209,Stock Movement,AAPL,,0.5
7132.0,"Google Maps To Offer Relevant Local COVID-19 Information For Public Transport, Driving And Testing Centers",2020-06-09 03:51:00-04:00,AAPL,Neutral,0.999688982963562,0.0,Legal and Regulation,AAPL,,0.5
7133.0,"IBM Discontinues Facial Recognition Technology, Says It Can't Condone 'Racial Profiling' Or 'Mass Surveillance'",2020-06-09 00:25:00-04:00,AAPL,Neutral,0.9035992622375488,0.0,Legal and Regulation,AAPL,,0.5
7134.0,Munster Says Under-The-Radar Apple TV+ Will Contribute 20% Of Cupertino's Net Income Growth,2020-06-08 14:16:00-04:00,AAPL,Neutral,0.8762896656990051,0.0,Analyst Rating,AAPL,,0.5
7135.0,Airlines Soar Again In Pre-Market Trading Amid More Reopening Optimism,2020-06-08 09:35:00-04:00,AAPL,Positive,0.9999257326126099,0.9999257326126099,Stock Movement,AAPL,,0.5
7136.0,Apple Gets Patent For Socially-Distanced Group Selfies,2020-06-08 04:34:00-04:00,AAPL,Neutral,0.9173625111579895,0.0,Analyst Rating,AAPL,,0.5
7137.0,Apple's Top Supplier Foxconn Launched New Recruitment Drive as Current Covid-19 Pandemic in China Ends,2020-06-07 17:03:00-04:00,AAPL,Neutral,0.9884252548217773,0.0,Supply Chain,AAPL,,0.5
7138.0,"Apple Preparing Monthly iPad, Mac Payment Plans for Apple Card",2020-06-06 18:36:00-04:00,AAPL,Neutral,0.9999986886978149,0.0,Legal and Regulation,AAPL,AAPL,0.2949940636754036
7139.0,"ESPAÑOL • Cannabis en Argentina, Blockchain Uruguayo, Elon Musk, Warren Buffett, Jeff Bezos, Isiah Thomas, y Canopy Growth",2020-06-05 17:19:00-04:00,AAPL,Neutral,0.9999842643737793,0.0,Legal and Regulation,AAPL,,0.5
7140.0,PreMarket Prep Stock Of The Day: Genius Brands,2020-06-05 12:24:00-04:00,AAPL,Neutral,0.9999393224716187,0.0,Stock Movement,AAPL,,0.5
7141.0,"Airlines, Casino Stocks Getting A Lift In Pre-Market Trading as Surprising Jobs Report Gets Digested",2020-06-05 10:43:00-04:00,AAPL,Positive,0.9998303651809692,0.9998303651809692,Stock Movement,AAPL,,0.5
7142.0,Stocks That Hit 52-Week Highs On Friday,2020-06-05 10:30:00-04:00,AAPL,Neutral,0.999387264251709,0.0,Stock Movement,AAPL,,0.5
7143.0,No Surprise: Guess What Market Is Leading Post-Virus Equity Rebound,2020-06-05 10:08:00-04:00,AAPL,Negative,0.5884894132614136,-0.5884894132614136,Stock Movement,AAPL,,0.5
7144.0,"Wedbush Maintains Outperform on Apple, Raises Price Target to $375",2020-06-05 08:43:00-04:00,AAPL,Positive,1.0,1.0,Analyst Rating,AAPL,,0.5
7145.0,"Credit Suisse Maintains Neutral on Apple, Raises Price Target to $295",2020-06-05 08:27:00-04:00,AAPL,Neutral,0.7369807362556458,0.0,Analyst Rating,AAPL,,0.5
7146.0,FaZe Clan Celebrates 10-Year Anniversary With G FUEL And Apple Beats,2020-06-05 07:02:00-04:00,AAPL,Neutral,0.9891595244407654,0.0,Product Launch,AAPL,,0.5
7147.0,"US Debt Market Raised $22.5B This Week, The Highest Since 2007: FT",2020-06-05 05:42:00-04:00,AAPL,Positive,0.9999901056289673,0.9999901056289673,Macroeconomic,AAPL,,0.5
7148.0,"Apple $425 Per Share Case 'On The Horizon,' Analyst Says",2020-06-05 00:07:00-04:00,AAPL,Neutral,0.9998893737792969,0.0,Analyst Rating,AAPL,,0.5
7149.0,FAANG Stocks Seem Immune To COVID-19,2020-06-04 13:47:00-04:00,AAPL,Neutral,0.9013875126838684,0.0,Stock Movement,AAPL,,0.5
7150.0,'Apple's #iPhone to join Beijing's 12.2 billion yuan ($1.7 billion) consumption voucher program: report. The discount for each purchase is a maximum of 400 yuan.' -Tweet From China's Global Times,2020-06-04 10:12:00-04:00,AAPL,Neutral,0.9999942779541016,0.0,Macroeconomic,AAPL,,0.5
7151.0,"Why Genius Brands Is On A Massive Rally, Adding Nearly 2500% Value In A Month",2020-06-04 01:01:00-04:00,AAPL,Positive,0.9345591068267822,0.9345591068267822,Stock Movement,AAPL,,0.5
7152.0,Warner Music CEO On IPO: Music Is The 'Only Global Language',2020-06-03 15:47:00-04:00,AAPL,Neutral,0.9999232292175293,0.0,Analyst Rating,AAPL,,0.5
7153.0,"Morgan Stanley Bullish On Rising App Store Revenue, Raises Apple Price Target",2020-06-03 11:00:00-04:00,AAPL,Positive,1.0,1.0,Analyst Rating,AAPL,,0.5
7154.0,A Look Into Apple's Price Over Earnings,2020-06-03 10:47:00-04:00,AAPL,Neutral,0.9999964237213135,0.0,Stock Movement,AAPL,,0.5
7155.0,"Zoom Initially Slips Despite Strong Earnings, Then Reverses Course In Pre-Market Trading",2020-06-03 10:00:00-04:00,AAPL,Negative,0.999265730381012,-0.999265730381012,Stock Movement,AAPL,,0.5
7156.0,"Morgan Stanley Maintains Overweight on Apple, Raises Price Target to $340",2020-06-03 08:31:00-04:00,AAPL,Positive,0.9999996423721313,0.9999996423721313,Analyst Rating,AAPL,,0.5
7157.0,"Warner Music Set To Go Public Today, In Anticipated Largest US IPO Of The Year",2020-06-03 06:09:00-04:00,AAPL,Neutral,0.9999905824661255,0.0,Stock Movement,AAPL,,0.5
